date,category,description,amount,type
2024-01-15,Groceries,Weekly shopping at Whole Foods,245.67,expense
2024-01-16,Salary,Monthly salary payment,5000.00,income
2024-01-17,Transportation,Gas station fill-up,52.30,expense
2024-01-18,Utilities,Electric bill payment,125.45,expense
2024-01-19,Entertainment,Movie tickets and dinner,85.00,expense
2024-01-20,Freelance,Website design project,800.00,income
2024-01-21,Healthcare,Pharmacy prescription,35.99,expense
2024-01-22,Dining,Lunch with clients,67.50,expense
2024-01-23,Shopping,New shoes,120.00,expense
2024-01-24,Investment,Dividend income,150.00,income
